Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais;Clock_Time;Service_Time;Wait_Time
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));19;0,038354;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,157289;0,021695;0,098966
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));20;0,038345;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,160905;0,021832;0,101315
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));1;0,075609;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,601870;0,025978;0,285283
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));2;0,046025;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,371796;0,024756;0,280899
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));3;0,070159;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,546837;0,029015;0,304664
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));4;0,075588;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,589609;0,036337;0,358106
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));5;0,077090;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,603998;0,032106;0,325183
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));6;0,082636;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,612652;0,026143;0,277910
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));7;0,068485;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,529655;0,025894;0,282744
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));8;0,051541;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,412550;0,024879;0,281447
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));9;0,075913;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,586398;0,034240;0,334361
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));10;0,048839;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,400030;0,026167;0,299992
